casser,negative
meurt,negative
ride,negative
récompenser,positive
importance,positive
ennui,negative
inhumain,negative
risquer,negative
peste,negative
repousser,negative
doucement,positive
enfreindre,negative
insignifiant,negative
endurer,negative
prisonnier,negative
infliger,negative
fatiguer,negative
renforcer,positive
échouer,negative
vilain,negative
destituer,negative
orphelin,negative
démêler,negative
création,positive
destruction,negative
sincère,positive
néant,negative
éclaircir,positive
solitaire,negative
sottise,negative
choc,negative
céleste,positive
assurance,positive
précurseur,negative
éloquence,positive
éclatant,positive
inquiet,negative
timide,negative
malice,negative
blessure,negative
désirable,positive
incontestable,positive
exclu,negative
longue,negative
exil,negative
patiemment,positive
absurde,negative
battu,negative
confidence,positive
désespéré,negative
honoré,positive
amèrement,negative
brouiller,negative
avancé,positive
déteste,negative
serrer,positive
franchise,positive
totalement,negative
préférable,positive
ironique,negative
préjudiciable,negative
habiter,negative
résistance,negative
féliciter,positive
chaîne,negative
indulgence,positive
interdire,negative
aspirer,positive
jolie,positive
rapide,positive
singularité,negative
respectueux,positive
prostituer,negative
tumultueux,negative
dominer,positive
positif,positive
adversaire,negative
fouetter,negative
dette,negative
négligence,negative
complet,positive
bouteille,negative
intime,positive
opposition,negative
prospérité,positive
élégant,positive
insultant,negative
guérir,positive
dévot,positive
détester,negative
sévérité,negative
aider,positive
aigre,negative
passionné,positive
froidement,negative
assassin,negative
confesser,negative
nuage,negative
soumis,negative
couche,negative
