oscurare,negative
furore,negative
nudo,negative
sconvolgere,negative
saluto,positive
estraneo,negative
involontario,negative
valido,positive
bandiera,negative
fragile,negative
taciturno,positive
isolato,negative
prevenire,negative
assalire,negative
ritirare,negative
rovesciare,negative
calore,positive
bizzarro,negative
ripudiare,negative
miracoloso,positive
prosperare,positive
apprensione,negative
imprigionare,negative
consolare,positive
indietro,negative
polvere,negative
fastidio,negative
schiavo,negative
giustamente,positive
scorretto,negative
ipocrisia,negative
cordialità,positive
efficacemente,positive
sufficientemente,positive
ribelle,negative
ricadere,negative
turbamento,negative
insignificante,negative
assassino,negative
sostenuto,positive
perire,negative
splendore,positive
severo,negative
correggere,positive
riscaldare,positive
accessibile,positive
dimentico,negative
cavalleresco,positive
sospetto,negative
comodità,positive
contrastare,negative
preparare,positive
cuocere,negative
impazzire,negative
dispendioso,negative
platea,negative
marcio,negative
ridursi,negative
eleganza,positive
dorato,positive
lavorato,positive
potenza,positive
incolto,negative
prodigo,positive
celare,negative
personaggi,positive
personaggio,positive
lodevole,positive
ammirato,positive
busto,negative
grido,negative
poppa,negative
umilmente,negative
ferita,negative
irreparabile,negative
logico,positive
veleno,negative
fedeltà,positive
vittima,negative
tracciare,negative
contestato,negative
lentamente,negative
arrabbiato,negative
trionfo,positive
corsa,negative
succhiare,negative
pregiudizi,negative
criticare,negative
calca,negative
secca,negative
tirannico,negative
cinico,negative
disertare,negative
disordinato,negative
feccia,negative
acume,positive
sottile,positive
eterno,positive
erudito,positive
venerare,positive
